id,station_name,code,longitude,latitude,elevation,Date,Rainfall_avg,Temp_Max,Temp_Min,Thunderstrom
43486,RATNAPURA,5,80.4,6.68,,3/15/2016,2.9,34.6,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,3/16/2016,0.2,35.1,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,3/17/2016,0,35.1,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,3/18/2016,0,36,24.7,NO
43486,RATNAPURA,5,80.4,6.68,,3/19/2016,0,35.4,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,3/20/2016,0,36.1,22.8,NO
43486,RATNAPURA,5,80.4,6.68,,3/21/2016,0,33,24.3,NO
43486,RATNAPURA,5,80.4,6.68,,3/22/2016,0,35.1,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,3/23/2016,0,35.8,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,3/24/2016,2.9,35.7,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,3/25/2016,0,36.2,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,3/26/2016,0,35.5,23.7,NO
43486,RATNAPURA,5,80.4,6.68,,3/27/2016,20.6,36,24.7,NO
43486,RATNAPURA,5,80.4,6.68,,3/28/2016,5.8,35.9,23.5,NO
43486,RATNAPURA,5,80.4,6.68,,3/29/2016,10.1,35.4,23,NO
43486,RATNAPURA,5,80.4,6.68,,3/30/2016,87.6,33.6,23,NO
43486,RATNAPURA,5,80.4,6.68,,3/31/2016,0,34.5,21.7,NO
43486,RATNAPURA,5,80.4,6.68,,04/01/2016,26.7,35,23.2,NO
43486,RATNAPURA,5,80.4,6.68,,04/02/2016,1.9,35.1,23,NO
43486,RATNAPURA,5,80.4,6.68,,04/03/2016,32.7,35.6,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,04/04/2016,29,34.1,23,NO
43486,RATNAPURA,5,80.4,6.68,,04/05/2016,4.3,34.4,23.8,NO
43486,RATNAPURA,5,80.4,6.68,,04/06/2016,66.5,35,23.6,NO
43486,RATNAPURA,5,80.4,6.68,,04/07/2016,0,34.8,22.2,NO
43486,RATNAPURA,5,80.4,6.68,,04/08/2016,4.1,35.6,24.7,NO
43486,RATNAPURA,5,80.4,6.68,,04/09/2016,11.9,35.2,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,04/10/2016,7.7,34.2,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,04/11/2016,2.4,35,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,04/12/2016,8.7,33.9,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,4/13/2016,0,34.3,24.5,NO
43486,RATNAPURA,5,80.4,6.68,,4/14/2016,19.7,35.8,25.7,NO
43486,RATNAPURA,5,80.4,6.68,,4/15/2016,21.7,36.2,24.2,NO
43486,RATNAPURA,5,80.4,6.68,,4/16/2016,21.6,35,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,4/17/2016,2.7,33.6,24.6,NO
43486,RATNAPURA,5,80.4,6.68,,4/18/2016,3.7,34.8,24,NO
43486,RATNAPURA,5,80.4,6.68,,4/19/2016,50.3,33.6,25.7,NO
43486,RATNAPURA,5,80.4,6.68,,4/20/2016,22.8,33.8,24,NO
43486,RATNAPURA,5,80.4,6.68,,4/21/2016,2.6,34.9,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,4/22/2016,2.3,34,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,4/23/2016,0,34.2,24.8,NO
43486,RATNAPURA,5,80.4,6.68,,4/24/2016,0,34.4,25.3,NO
43486,RATNAPURA,5,80.4,6.68,,4/25/2016,0,35,24.9,NO
43486,RATNAPURA,5,80.4,6.68,,4/26/2016,37.2,35.4,25.7,NO
43486,RATNAPURA,5,80.4,6.68,,4/27/2016,0,35.3,23.4,NO
43486,RATNAPURA,5,80.4,6.68,,4/28/2016,7.4,34.8,23.3,NO
43486,RATNAPURA,5,80.4,6.68,,4/29/2016,0.3,34.6,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,4/30/2016,8.3,33,23.9,NO
43486,RATNAPURA,5,80.4,6.68,,05/01/2016,9,34.6,24.3,NO
